ZIPCODE,CITY,STATE
10990-9832,HANOVER,NH
10980-2981,SYRACUSE,NY
10980-2982,MIAMI,FL
10980-2983,SAN DIEGO,CA
11000-4064,DETROIT,MI
10980-2984,BALTIMORE,MD
11000-4065,CINCINNATI,OH
11000-2039,CHICAGO,IL
10980-2985,CHICAGO,IL
10980-2986,BETHESDA,MD
10980-2987,AUGUSTA,GA
10980-2988,CHICAGO,IL
10970-0228,TAMPA,FL
10970-0229,BRONX,NY
10980-2989,CHICAGO,IL
10980-2990,BUFFALO,NY
10980-2991,IRVINE,CA
10970-0230,WORCESTER,MA
10980-2992,HONOLULU,HI
10980-2993,NEW YORK,NY
10970-0231,GREENVILLE,NC
11000-2040,CHICAGO,IL
10960-7923,NEW YORK,NY
11000-2041,CLEVELAND,OH
10990-9833,BALTIMORE,MD
11000-2042,TUCSON,AZ
10970-8646,WASHINGTON,DC
11000-4066,TUCSON,AZ
11000-4067,TUCSON,AZ
10980-2994,SAN FRANCISCO,CA
10970-0232,BROOKLYN,NY
10970-8647,NEW YORK,NY
10960-7924,OAK BROOK,IL
10980-2995,HOUSTON,TX
10980-2996,BROOKLYN,NY
10970-8648,SHREVEPORT,LA
11000-4068,PHILADELPHIA,PA
10970-8649,DAYTON,OH
10980-2997,HAMILTON,ON
11000-4069,LEXINGTON,KY
11000-2043,LEXINGTON,KY
11000-4070,EL PASO,TX
10980-2998,COLUMBUS,OH
11000-4071,ATLANTA,GA
10970-8650,TAMPA,FL
10980-2999,TAMPA,FL
11000-4072,KANSAS CITY,KS
11000-4073,ANN ARBOR,MI
11000-1079,ANN ARBOR,MI
10980-3000,ATLANTA,GA
11000-4074,DURHAM,NC
11000-4075,DURHAM,NC
11000-2044,LEXINGTON,KY
10980-3001,LEXINGTON,KY
11000-1080,LEXINGTON,KY
11000-4076,ANN ARBOR,MI
10990-9834,BETHESDA,MD
10970-0233,WASHINGTON,DC
10970-8651,HOUSTON,TX
10970-0234,CHARLOTTESVILLE,VA
11000-4077,CHICAGO,IL
11000-4078,SEATTLE,WA
10980-3002,SAN DIEGO,CA
10970-8652,WASHINGTON,DC
10970-0235,HOUSTON,TX
10980-3003,BOYAMOR,PR
10980-3004,NEW YORK,NY
11000-2045,BAYAMON,PR
11000-4079,SAINT LOUIS,MO
10980-3005,WINSTON-SALEM,NC
10980-3006,SEATTLE,WA
11000-2046,LA JOLLA,CA
10980-3007,DARIEN,IL
10970-8653,MONTREAL,PQ
10980-3008,NEW YORK,NY
10980-3009,HAMILTON,ON
10970-0236,BROOKLYN,NY
10980-3010,LOUISVILLE,KY
10980-3011,PHILADELPHIA,PA
10980-3012,PHILADELPHIA,PA
10970-0237,MILWAUKEE,WI
10980-3013,ALBANY,NY
11000-4080,CHICAGO,IL
11000-2047,HAMILTON,ON
10980-3014,NORTH CHICAGO,IL
10980-3015,JOHNSON CITY,TN
10980-3016,ALBUQUERQUE,NM
11000-2048,STONY BROOK,NY
10980-3017,WINNIPEG,MB
11000-2049,BAYAMON,PR
10980-3018,ALBANY,NY
10970-8654,SAN FRANCISCO,CA
10980-3019,SAINT LOUIS,MO
10980-3020,INDIANAPOLIS,IN
10980-3021,NASHVILLE,TN
10970-8655,QUEBEC,PQ
10980-3022,AUGUSTA,GA
11000-4081,MADISON,WI
10980-3023,ATLANTA,GA
11000-2050,WINNIPEG,MB
10980-3024,TUCSON,AZ
11000-4082,JOHNSON CITY,TN
10980-3025,DULUTH,MN
11000-4083,ROOTSTOWN,OH
11000-4084,ST. LOUIS,MO
10980-3026,GRAND FORKS,ND
11000-4085,BOSTON,MA
10970-0238,OMAHA,NE
10980-3027,IOWA CITY,IA
10980-3028,SAN FRANCISCO,CA
10970-8656,NEW ORLEANS,LA
10980-3029,INDIANAPOLIS,IN
11000-2051,BOSTON,MA
10970-0239,ROCHESTER,MN
11000-2052,MONTREAL,PQ
10970-8657,CINCINNATI,OH
10980-3030,NASHVILLE,TN
10980-3031,MEMPHIS,TN
11000-2053,VANCOUVER,BC
10980-3032,GRAND FORKS,ND
10980-3033,WASHINGTON,DC
11000-2054,UNKNOWN,ON
10980-3034,CHICAGO,IL
10980-3035,CHICAGO,IL
10980-3036,PITTSBURGH,PA
10980-3037,RICHMOND,VA
10980-3038,HUNTINGTON,WV
10980-3039,NEW YORK,NY
11000-4086,PHILADELPHIA,PA
10980-3040,IOWA CITY,IA
11000-2055,HOUSTON,TX
10980-3041,WORCESTER,MA
11000-2056,BALTIMORE,MD
10980-3042,NORFOLK,VA
10980-3043,LOS ANGELES,CA
10980-3044,OKLAHOMA CITY,OK
11000-4087,MIAMI,FL
10980-3045,ANN ARBOR,MI
10970-8658,JACKSON,MS
10980-3046,COLLEGE STATION,TX
10970-8659,JACKSON,MS
10970-0240,RICHMOND,VA
11000-2057,WINNIPEG,MB
10980-3047,LEXINGTON,KY
10980-3048,BIRMINGHAM,AL
10970-8660,EAST LANSING,MI
10970-8661,MAYWOOD,IL
10980-3049,HERSHEY,PA
10980-3050,SYRACUSE,NY
10980-3051,CLEVELAND,OH
10980-3052,CHARLESTON,SC
10980-3053,STANFORD,CA
11000-2058,BUFFALO,NY
10980-3054,MACON,GA
11000-4088,BOSTON,MA
10980-3055,PONCE,PR
10970-0241,PONCE,PR
10970-0242,NEWARK,NJ
10980-3056,BOSTON,MA
10980-3057,COLUMBUS,OH
10980-3058,WASHINGTON,DC
10970-0243,HOUSTON,TX
10980-3059,SAN ANTONIO,TX
10980-3060,LA JOLLA,CA
10970-0244,GALVESTON,TX
11000-2059,ST. JOHN'S,NF
10980-3061,HOUSTON,TX
10980-3062,HONOLULU,HI
10970-0245,BOSTON,MA
10970-0246,VANCOUVER,BC
10980-3063,CHICAGO,IL
11000-1081,BOSTON,MA
11000-4089,CLEVELAND,OH
11000-4090,CHAPEL HILL,NC
11000-4091,LEXINGTON,KY
10980-3064,MOBILE,AL
10980-3065,NASHVILLE,TN
10980-3066,GAINESVILLE,FL
10980-3067,MORGANTOWN,WV
10980-3068,LITTLE ROCK,AR
10980-3070,BOSTON,MA
10980-3071,BROOKLYN,NY
10980-3072,DAVIS,CA
10980-3073,PROVIDENCE,RI
10980-3074,CHICAGO,IL
10980-3075,MADISON,WI
10970-8662,DENVER,CO
10970-8663,SASKATOON,SK
10980-3076,SPRINGFIELD,IL
11000-4092,NEW YORK,NY
10980-3077,DAVIS,CA
10990-9835,AUGUSTA,GA
11000-4093,PISCATAWAY,NJ
10970-8664,KANSAS CITY,MO
11000-2060,CANADA,PQ
10970-8665,BROOKLYN,NY
10980-3078,CORAL GABLES,FL
10980-3079,BUFFALO,NY
10980-3080,PHILADELPHIA,PA
10980-3081,SYRACUSE,NY
10980-3082,ATLANTA,GA
10980-3083,SIOUX FALLS,SD
10980-3084,MOBILE,AL
10980-3085,BOSTON,MA
10970-8666,WASHINGTON,DC
10970-0247,DAVIS,CA
10980-3086,LONDON,ON
10970-8667,SAN ANTONIO,TX
10970-0248,ATLANTA,GA
10980-3087,MEMPHIS,TN
10960-7925,GALVESTON,TX
11000-4094,LOS ANGELES,CA
11000-4095,WASHINGTON,DC
10980-3088,PHILADELPHIA,PA
10980-3089,PHILADELPHIA,PA
11000-4096,FARMINGTON,CT
10980-3090,TAMPA,FL
11000-2061,NEW ORLEANS,LA
11000-2062,PONCE,PR
10980-3091,CANADA,ON
10980-3092,SEATTLE,WA
10980-3093,NEW YORK,NY
11000-4097,IRVINE,CA
10960-7926,BAYAMON,PR
11000-2063,OTTAWA,ON
10980-3094,MILWAUKEE,WI
10980-3095,SAN ANTONIO,TX
10980-3096,LUBBOCK,TX
11000-2064,TORONTO,ON
10980-3097,HANOVER,NH
10980-3098,SALT LAKE CITY,UT
10980-3099,MEMPHIS,TN
10980-3100,SALT LAKE CITY,UT
10980-3101,NEW YORK,NY
10990-9836,PHILADELPHIA,PA
10980-3102,BOSTON,MA
10970-8668,QUEBEC,PQ
10980-3103,LOS ANGELES,CA
10980-3104,LOS ANGELES,CA
10980-3105,TAMPA,FL
10980-3106,PORTLAND,OR
10980-3107,IOWA CITY,IA
11000-2065,CANADA,PQ
10970-8669,SHERBROOKE,PQ
10980-3108,EL DORADO,KS
10980-3109,ST. JOHN'S,NF
11000-4098,BROOKLYN,NY
10970-8670,LONDON,ON
10970-0249,DAVIS,CA
11000-4099,NEW YORK,NY
10980-3110,NEW YORK,NY
10980-3111,MORGANTOWN,WV
11000-4100,MADISON,WI
11000-2066,WASHINGTON,DC
10970-0250,SAN JUAN,PR
10970-0251,CHICAGO,IL
10980-3112,NEW HAVEN,CT
10980-3113,LONDON,ON
11000-4101,TOLEDO,OH
10970-0252,PHILADELPHIA,PA
10980-3114,NEWARK,NJ
10970-0253,SHREVEPORT,LA
10980-3115,COLUMBIA,SC
11000-2067,CHICAGO,IL
10980-3116,PORTLAND,OR
10980-3117,LUBBOCK,TX
10980-3118,WASHINGTON,DC
11000-4102,NEW YORK,NY
11000-4103,KANSAS CITY,KS
10980-3119,IRVINE,CA
10980-3120,COLUMBIA,MO
10960-7927,NASHVILLE,TN
11000-4104,BOSTON,MA
10970-8671,PHILADELPHIA,PA
10980-3121,LOS ANGELES,CA
10970-8672,KINGSTON,ON
10980-3122,COLUMBIA,MO
10980-3123,KANSAS CITY,MO
10970-0254,SAN ANTONIO,TX
10980-3124,BALTIMORE,MD
11000-2068,BUFFALO,NY
11000-4105,NEW YORK,NY
10970-0255,SAN JUAN,PR
10990-9837,EDMONTON,AB
10980-3125,PORTLAND,OR
10970-0256,CHARLESTON,SC
10990-9838,MONTREAL,PQ
10970-8673,ROOTSTOWN,OH
10980-3126,MADISON,WI
10980-3127,BALTIMORE,MD
10980-3128,NEW ORLEANS,LA
10980-3129,SALT LAKE CITY,UT
10980-3130,HERSHEY,PA
10980-3131,COLUMBUS,OH
10980-3132,KINGSTON,ON
10970-0257,CHICAGO,IL
11000-4106,VALHALLA,NY
10980-3133,LOUISVILLE,KY
10980-3134,IRVINE,CA
11000-4107,VALHALLA,NY
10980-3135,DETROIT,MI
10980-3136,FARMINGTON,CT
10970-0258,CINCINNATI,OH
10970-8674,WINSTON-SALEM,NC
10980-3137,DALLAS,TX
10980-3138,PISCATAWAY,NJ
10990-9839,LOS ANGELES,CA
10980-3139,DURHAM,NC
10980-3140,NEW HAVEN,CT
11000-4108,MAYWOOD,IL
11000-2069,TEMPLE,TX
11000-4109,MEMPHIS,TN
10980-3141,FARMINGTON,CT
10980-3142,ATLANTA,GA
10980-3143,LOS ANGELES,CA
10980-3144,SALT LAKE CITY,UT
10980-3145,PHILADELPHIA,PA
10980-3146,SASKATOON,SK
10980-3147,PISCATAWAY,NJ
10970-8675,CHICAGO,IL
10980-3148,OKLAHOMA CITY,OK
10980-3149,AMARILLO,TX
11000-4110,ROCHESTER,MN
11000-2070,URBANA,IL
11000-4111,LONDON,ON
10980-3150,ANN ARBOR,MI
10980-3151,OMAHA,NE
10980-3152,WASHINGTON,DC
11000-4112,SPRINGFIELD,IL
10980-3153,BINGHAMTON,NY
11000-2072,SAGINAW,MI
10980-3154,NEW ORLEANS,LA
10980-3155,JACKSON,MS
10960-7929,ANN ARBOR,MI
10980-3156,CHARLOTTESVILLE,VA
10980-3157,WASHINGTON,DC
10970-8676,LEXINGTON,KY
10960-7930,NEW YORK,NY
10980-3158,OMAHA,NE
10980-3159,INDIANAPOLIS,IN
10980-3160,HAVERTOWN,PA
10980-3161,PHILADELPHIA,PA
10980-3162,JEFFERSON,LA
10980-3163,CHICAGO,IL
10980-3164,PORTLAND,OR
10990-9840,SPRINGFIELD,IL
11000-4113,LEXINGTON,KY
10980-3165,FORT COLLINS,CO
10980-3166,WANTAGH,NY
10980-3167,MIAMI,FL
10980-3168,SAN ANTONIO,TX
10970-0259,LENNOX,SD
10970-0260,IOWA CITY,IA
10980-3169,SAINT LOUIS,MO
10980-3170,UNIVERSITY CITY,MO
10970-0261,ATLANTA,GA
10980-3171,MAYWOOD,IL
11000-4114,NEW YORK,NY
11000-4115,VALHALLA,NY
10980-3172,GREENVILLE,NC
11000-1082,PHILADELPHIA,PA
11000-2073,HERSHEY,PA
10970-0262,THE WOODLANDS,TX
10980-3173,ROCHESTER,MN
10980-3174,ROCHESTER,MN
10990-9841,NEW YORK,NY
10960-7931,JACKSONVILLE,FL
11000-4116,SALT LAKE CITY,UT
10990-9842,HALIFAX,NS
10970-8677,JOHNSON CITY,TN
10960-7932,TOWSON,MD
11000-4117,PITTSBURGH,PA
10960-7933,PEORIA,IL
10970-8678,HARTFORD,CT
10970-8679,CONCORD,NH
10960-7934,SALT LAKE CITY,UT
10990-9844,NEW ORLEANS,LA
11000-1083,HOUSTON,TX
11000-4118,STONY BROOK,NY
10990-9845,SEATTLE,WA
11000-2074,LA JOLLA,CA
10970-8680,NEW YORK,NY
11000-2075,URBANA,IL
11000-2076,PROVIDENCE,RI
10970-0263,PHILADELPHIA,PA
11000-1084,CHAPEL HILL,NC
11000-4119,LEXINGTON,KY
10970-8681,WASHINGTON,DC
10980-3175,PROVIDENCE,RI
10970-0264,NEW YORK,NY
10960-7935,WASHINGTON,DC
10970-8682,XXX,MT
11000-4120,MINNEAPOLIS,MN
10970-0265,WASHINGTON,DC
10960-7936,BETHESDA,MD
11000-4121,STANFORD,CA
11000-2077,PHILADELPHIA,PA
10990-9846,NEW YORK,NY
10970-8683,DALLAS,TX
10980-3176,CARACAS,FR
11000-2078,NASHVILLE,TN
11000-2079,URBANA,IL
10990-9847,BAYAMON,PR
10970-8684,WELLESLEY,MA
11000-4122,STANFORD,CA
10970-8685,HAVERFORD,PA
10990-9848,ATLANTA,GA
10960-7937,BALTIMORE,MD
11000-2080,ATHENS,GA
10980-3177,ELK GROVE VILLA,IL
10980-3178,HOUSTON,TX
10970-0266,CLEVELAND HEIGH,OH
10970-0267,CLEVELAND HEIGH,OH
10970-0268,SEATTLE,WA
10970-0269,BALTIMORE,MD
10970-0270,CARRBORO,NC
10980-3179,CHAPEL HILL,NC
11000-4123,DALLAS,TX
10990-9849,ANN ARBOR,MI
10980-3180,BUFFALO,NY
11000-2081,DENVER,CO
11000-2082,WINNIPEG,MB
10970-8686,HALIFAX,NS
10980-3181,GAINESVILLE,FL
11000-4124,BROOKLYN,NY
11000-4125,BOSTON,MA
10980-3182,HERSHEY,PA
10990-9850,READING,PA
10980-3183,WASHINGTON,DC
10980-3184,WASHINGTON,DC
10990-9851,WORCESTER,MA
10990-9852,SPRINGFIELD,IL
10980-3185,NORTHVILLE,IL
11000-2083,ATLANTA,GA
10970-0271,WASHINGTON,DC
11000-2084,SALT LAKE CITY,UT
10990-9853,BALTIMORE,MD
11000-1085,CHICAGO,IL
10980-3186,ALEXANDRIA,VA
10980-3187,WASHINGTON,DC
10980-3188,HOUSTON,TX
11000-2085,NEW YORK,NY
11000-4126,BOSTON,MA
11000-4127,WASHINGTON,DC
10970-0272,WASHINGTON,DC
10970-0273,PROVIDENCE,RI
11000-2086,PROVIDENCE,RI
11000-4128,BALTIMORE,MD
11000-2087,CHAPEL HILL,NC
11000-4129,MAYWOOD,IL
10980-3189,IRVINE,CA
10960-7938,NEW YORK,NY
10970-0274,ROCKVILLE,MD
11000-1086,CHARLESTON,SC
10980-3190,BALTIMORE,MD
10970-0275,MORGANTOWN,WV
10970-0276,CHARLOTTESVILLE,VA
11000-2088,KINGSTON,ON
10970-0277,RIVERSIDE,CA
10970-8688,WASHINGTON,DC
10980-3191,CHARLESTON,SC
10980-3192,CHARLESTON,SC
10980-3193,SAN FRANCISCO,CA
10980-3194,DETROIT,MI
10980-3195,WASHINGTON,DC
10980-3196,HUNTINGTON,WV
10990-9854,DAVIS,CA
10970-0278,SACRAMENTO,CA
10980-3197,TOLEDO,OH
11000-2089,MAYWOOD,IL
10980-3198,MAYWOOD,IL
10980-3199,NEW YORK,NY
10980-3200,SALT LAKE CITY,UT
10980-3201,SALT LAKE CITY,UT
10970-0279,PROVIDENCE,RI
10970-0280,GALVESTON,TX
10980-3202,LITTLE ROCK,AR
10970-0281,KANSAS CITY,MO
10980-3203,SPOTSWOOD,NJ
10980-3204,WESTMONT,IL
10980-3205,WASHINGTON,DC
10970-0282,TUCSON,AZ
10970-0283,ST. LOUIS,MO
10970-0284,CHICAGO,IL
10970-0285,COLUMBIA,SC
10970-0286,BERKELEY,CA
10980-3206,CHAPEL HILL,NC
11000-1087,WASHINGTON,DC
10980-3207,VALHALLA,NY
10980-3208,WASHINGTON,DC
10980-3209,WINSTON-SALEM,NC
10980-3210,BURLINGTON,VT
10960-7939,COLUMBUS,OH
10970-0287,JACKSON,MS
10970-0288,SEATTLE,WA
10970-8689,CHARLOTTESVILLE,VA
10970-0289,SACRAMENTO,CA
10970-0290,OMAHA,NE
10980-3211,PHILADELPHIA,PA
10970-0291,WASHINGTON,DC
10960-7940,PHILADELPHIA,PA
10970-8690,NASHVILLE,TN
11000-4130,RENO,NV
10970-0292,CAMBRIDGE,MA
10990-9855,LOS ANGELES,CA
10980-3212,TAMPA,FL
10970-8691,BIRMINGHAM,AL
10970-0293,BALTIMORE,MD
11000-4131,GRAND FORKS,ND
10970-8692,MORGANTOWN,WV
10970-0294,ST. LOUIS,MO
10970-0295,LOS ANGELES,CA
10970-0296,SAN FRANCISCO,CA
10970-0297,STORRS,CT
10980-3213,LOUISVILLE,KY
10970-0299,FARMINGTON,CT
10970-8693,COLUMBUS,OH
10980-3214,PONTIAC,MI
10970-0300,LOS ANGELES,CA
10980-3215,SHREVEPORT,LA
10980-3216,SAN FRANCISCO,CA
10980-3217,NEWARK,NJ
10980-3218,KNOXVILLE,TN
10960-7941,AUSTIN,TX
10980-3219,DAYTON,OH
10970-0301,TUCSON,AZ
10980-3220,MISSOURI,TX
11000-1088,HOUSTON,TX
11000-1089,NEWARK,NJ
11000-1090,PHILADELPHIA,PA
10980-3221,TAMPA,FL
10970-8694,NIXON,TX
10970-8695,MADISON,WI
11000-4132,WORCESTER,MA
11000-2090,PORTLAND,OR
11000-1091,AMHERST,MA
10980-3222,STANFORD,CA
10980-3223,MIAMI,FL
10980-3224,HOUSTON,TX
10980-3225,SAN JUAN,PR
10980-3226,NEW HAVEN,CT
10960-7942,EVANSTON,IL
11000-4133,DENVER,CO
10980-3227,URBANA,IL
10980-3228,OMAHA,NE
10970-0302,BOSTON,MA
10970-8696,ATLANTA,GA
10980-3229,DAYTON,OH
10970-0303,DURHAM,NC
10970-0304,BALTIMORE,MD
10970-8697,IOWA CITY,IA
11000-4134,NASHVILLE,TN
10970-8698,AUGUSTA,GA
10970-8699,COMMERCE TOWNSH,MI
10970-0305,NEW YORK,NY
10970-0306,PHILADELPHIA,PA
10980-3230,STANFORD,CA
10980-3231,BRIDGEPORT,CT
10980-3232,TALLAHASSEE,FL
10970-0307,CHICAGO,IL
10970-0308,ANN ARBOR,MI
10980-3233,ORLANDO,FL
10980-3234,VALHALLA,NY
10980-3235,FLUSHING,NY
10980-3236,CHARLESTON,WV
10980-3237,PROVIDENCE,RI
10980-3238,CHAPEL HILL,NC
10980-3239,NEW YORK,NY
10980-3240,JAMAICA,NY
10980-3241,CHICAGO,IL
10970-0309,CLEVELAND,OH
10970-8700,LONG BEACH,CA
10970-0310,PITTSBURGH,PA
10970-0311,NEW ORLEANS,LA
10980-3242,DENVER,CO
10970-0312,PHILADELPHIA,PA
10980-3243,CHICAGO,IL
10980-3244,DETROIT,MI
10970-8701,AKRON,OH
10960-7943,WASHINGTON,DC
10980-3245,PITTSBURGH,PA
10970-8702,POINT PLEASANT,NJ
10970-8703,YORK,PA
10980-3246,NASHVILLE,TN
10970-8704,BLOOMINGTON,IN
10970-0313,TOLEDO,OH
10980-3247,MORGANTOWN,WV
10970-8705,WARREN,MI
10980-3248,MINNEAPOLIS,MN
10980-3249,BETHESDA,MD
10970-0314,PHILADEPHIA,PA
10980-3250,ERIE,PA
10960-7944,COLUMBIA,MD
10980-3251,CHICAGO,IL
10960-7945,YOUNGSTOWN,OH
10980-3252,IOWA CITY,IA
10980-3253,DALLAS,TX
10980-3254,VALHALLA,NY
10980-3255,HOUSTON,TX
10980-3256,CHICAGO,IL
10960-7946,LOUISVILLE,KY
10970-8706,HOUSTON,TX
10980-3257,LOS ANGELES,CA
10980-3258,CHICAGO,IL
10980-3259,HOUSTON,TX
10970-8707,DANVILLE,PA
10970-8708,PATERSON,NJ
10980-3260,BOSTON,MA
10970-8709,HOUSTON,TX
10970-8710,PORTLAND,ME
10980-3261,MEMPHIS,TN
10980-3262,FLINT,MI
10980-3263,NEW YORK,NY
10970-0315,CHICAGO,IL
10970-0316,LOS ANGELES,CA
10980-3264,CLEVELAND,OH
10980-3265,ALBUQUERQUE,NM
10980-3266,SACRAMENTO,CA
10980-3267,DAYTON,OH
10980-3268,NEW YORK,NY
10980-3269,NEW YORK,NY
10980-3270,NORFOLK,VA
10980-3271,HOUSTON,TX
10970-0317,CHICAGO,IL
10980-3272,EVANSTON,IL
10980-3273,LITTLE ROCK,AR
10980-3274,SPRINGFIELD,MA
10980-3275,BALTIMORE,MD
10970-0318,WASHINGTON,DC
10980-3276,BURLINGTON,VT
10970-0319,BROOKLYN,NY
10980-3277,BRONX,NY
10980-3278,PHILADELPHIA,PA
10980-3279,LEXINGTON,KY
10980-3280,SEATTLE,WA
11000-1092,FALLS CHURCH,VA
10980-3281,LIVINGSTON,NJ
11000-4135,NEW YORK,NY
10980-3282,DAYTON,OH
10980-3283,OAKLAND,CA
10980-3284,TUCSON,AZ
10980-3285,AUGUSTA,GA
10970-8711,PITTSBURGH,PA
10980-3286,MURFREESBORO,TN
11000-4136,NEW YORK,NY
10970-0320,TOLEDO,OH
10980-3287,NEW YORK,NY
10970-0321,HOUSTON,TX
10980-3288,ST. PETERSBURG,FL
10980-3289,WASHINGTON,DC
11000-2091,HARTFORD,CT
10980-3290,NEW HAVEN,CT
11000-4137,SAINT LOUIS,MO
10980-3291,HUNTINGTON,WV
10970-0322,BOSTON,MA
10970-8712,CLEVELAND,OH
10970-8713,LEXINGTON,KY
10980-3292,HOUSTON,TX
10980-3293,MILWAUKEE,WI
10970-8714,GRAND RAPIDS,MI
10970-0323,CHICAGO,IL
10970-0324,NEW HAVEN,CT
10980-3294,PLAINFIELD,NJ
10980-3295,DETROIT,MI
10970-8715,CHARLOTTE,NC
10980-3296,CINCINNATI,OH
10970-8716,PITTSBURGH,PA
10960-7947,BOSTON,MA
10970-0325,CINCINNATI,OH
10980-3297,LEBANON,NH
10980-3298,CHAPEL HILL,NC
10970-0326,INDIANAPOLIS,IN
10970-8717,ALBANY,NY
10960-7948,WASHINGTON,DC
10980-3299,EAST LANSING,MI
10970-0327,NEW ORLEANS,LA
10970-0328,EVANSTON,IL
10970-0329,RICHMOND,VA
10970-0330,NEW YORK,NY
10960-7949,GAINESVILLE,FL
10970-0331,MORGANTOWN,WV
10980-3300,NEW YORK,NY
10970-0332,COLUMBUS,OH
10970-0333,CLEVELAND,OH
10970-0334,BALTIMORE,MD
10980-3301,MINNEAPOLIS,MN
10970-0335,WASHINGTON,DC
10980-3302,ST. LOUIS,MO
10970-0336,ST. LOUIS,MO
10980-3303,BRONX,NY
10980-3304,NEW YORK,NY
10970-0337,WARRENDALE,PA
10970-0338,DALLAS,TX
10980-3305,PITTSBURGH,PA
11000-1093,BOSTON,MA
10980-3306,BINGHAMTON,NY
10980-3307,CHICAGO,IL
10970-8718,LANSING,MI
11000-4138,COLLEGE STATION,TX
10980-3308,STONY BROOK,NY
10980-3309,LEXINGTON,KY
10980-3310,BIRMINGHAM,AL
10980-3311,NEW YORK,NY
10980-3312,FALLS CHURCH,VA
10980-3313,ST. LOUIS,MO
10980-3314,KALAMAZOO,MI
10970-8719,BETHESDA,MD
10980-3315,DAYTON,OH
10980-3316,SPRINGFIELD,VA
10970-8720,KETTERING,OH
10980-3317,BRONX,NY
10980-3318,NEW ORLEANS,LA
10970-0339,PHILADELPHIA,PA
10980-3319,MINNEAPOLIS,MN
10970-0340,ANN ARBOR,MI
10980-3320,COOPERSTOWN,NY
10960-7950,HERSHEY,PA
10980-3321,SIOUX FALLS,SD
10980-3322,SPRINGFIELD,IL
10960-7951,KALAMAZOO,MI
10980-3323,NEW ORLEANS,LA
10980-3324,MILWAUKEE,WI
10980-3325,WINSTON-SALEM,NC
10980-3326,GREENSBORO,NC
10970-8721,FLUSHING,NY
10980-3327,KANSAS CITY,MO
10980-3328,KANSAS CITY,MO
10980-3329,SPRINGFIELD,IL
10980-3330,RICHMOND,VA
10970-8722,PITTSBURGH,PA
10980-3331,ANN ARBOR,MI
10960-7952,CHICAGO,IL
10980-3332,MEMPHIS,TN
10980-3333,SAN DIEGO,CA
10980-3334,NEW YORK,NY
10980-3335,DARBY,PA
10980-3336,HOUSTON,TX
10970-8723,LOS ANGELES,CA
11000-1094,ATLANTA,GA
11000-4139,WORCESTER,MA
10980-3337,CHARLOTTESVILLE,VA
10970-0341,ANN ARBOR,MI
10980-3338,PROVIDENCE,RI
10980-3339,WORCESTER,MA
10980-3340,PITTSBURGH,PA
10970-0342,BOSTON,MA
10980-3341,NEW YORK,NY
10980-3342,SAN JUAN,PR
10980-3343,HOUSTON,TX
10970-8724,HOUSTON,TX
11000-4140,LUBBOCK,TX
11000-4141,PITTSBURGH,PA
10980-3344,NEW YORK,NY
10980-3345,NEW YORK,NY
10980-3346,COLUMBUS,OH
10980-3347,MINEOLA,NY
10980-3348,MINEOLA,NY
10980-3349,LANSING,MI
10980-3350,DETROIT,MI
10970-0343,ALBANY,NY
10970-0344,PHILADELPHIA,PA
10980-3351,AKRON,OH
10970-8725,TOLEDO,OH
10970-0345,ANN ARBOR,MI
11000-2092,HOUSTON,TX
10980-3352,BIRMINGHAM,AL
10980-3353,VANCOUVER,BC
10980-3354,CHICAGO,IL
10980-3355,HOUSTON,TX
10970-8726,CALGARY,AB
10980-3356,DURHAM,NC
10970-0346,LANSDOWNE,PA
10980-3357,GAINESVILLE,FL
10980-3358,SPRINGFIELD,IL
10980-3359,WASHINGTON,DC
10980-3360,GERMANTOWN,WI
10980-3361,HOUSTON,TX
10980-3362,CINCINNATI,OH
10980-3363,LUBBOCK,TX
10980-3364,LUBBOCK,TX
10980-3365,DENVER,CO
10990-9856,EDMONTON,AB
10980-3366,IOWA CITY,IA
10970-8727,NEW YORK,NY
11000-4142,LEXINGTON,KY
10980-3367,LOS ANGELES,CA
10990-9857,GALVESTON,TX
10980-3368,PHILADELPHIA,PA
10980-3369,SAN DIEGO,CA
11000-1095,CHICAGO,IL
10970-8728,BRONX,NY
10970-8729,SAN DIEGO,CA
10980-3370,NEW YORK,NY
10970-8730,SEATTLE,WA
10980-3371,PORVIDENCE,RI
10970-8731,EVANSTON,IL
10970-0347,SPRINGFIELD,IL
10970-8732,MEMPHIS,TN
10980-3372,NEW YORK,NY
10980-3373,DETROIT,MI
11000-4143,COLUMBUS,OH
10980-3374,BOSTON,MA
10980-3375,ROCHESTER,MN
10970-0348,PONTIAC,MI
10980-3376,INDIANAPOLIS,IN
10980-3377,WALTHAM,MA
10970-0349,ROCKVILLE,MD
10980-3378,LEXINGTON,KY
10970-0350,WASHINGTON,DC
10980-3379,SALT LAKE CITY,UT
10970-0351,WASHINGTON,DC
10980-3380,TEMPE,AZ
10970-0352,WASHINGTON,DC
10980-3381,AUSTIN,TX
10970-0353,BETHESDA,MD
10970-0354,ALEXANDRIA,VA
10980-3382,CORAL GABLES,FL
10970-8733,SAN JUAN,PR
10960-7953,BETHESDA,MD
10980-3383,BOCA RATON,FL
10980-3384,SILVER SPRING,MD
10970-0355,WASHINGTON,DC
10980-3385,ATLANTA,GA
10980-3386,LOMA LINDA,CA
10980-3387,NEW HAVEN,CT
10980-3388,CHICAGO,IL
10980-3389,WORCESTER,MA
